rok;kandidatni_strana;poradove_cislo;jmeno;vek;navrhujici_strana;politika_prislusnost;pocet_hlasu_abs;pocet_hlasu_perc;poradi_zvol_nahradnika;mandat
2002;"Naděje";27;"Kudláčková Lenka  ";33;"N";"BEZPP";660;2.21;"";""
2018;"Svob.a př.dem.-T.Okamura (SPD)";6;"Lauryn Tomáš Bc.";32;"SPD";"SPD";1025;2.71;"";""
2010;"Věci veřejné (VV)";30;"Burdová Petra";35;"VV";"BEZPP";646;2.28;"";""
2002;"Česká str.sociálně demokrat.";11;"Kučera Miloslav MgA. ";60;"ČSSD";"ČSSD";4315;2.71;5;""
2014;"TOP 09 a nezávislí";1;"Němec Jan";43;"TOP 09";"TOP 09";1687;3.17;1;""
2018;"Česká pirátská strana";12;"Bednář Jan";25;"Piráti";"Piráti";2861;2.62;7;""
2014;"PARDUBÁCI,Sdružení ČSR, NK";26;"Nečasová Radka Mgr.";35;"ČSR";"BEZPP";1430;2.30;23;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";2;"Brož Tomáš MUDr.";42;"ALTER";"BEZPP";1440;10.55;"";""
2018;"Koalice pro Pardubice";11;"Pražan Michal MDDr.";29;"TOP 09";"TOP 09";1808;2.59;10;""
2018;"NAŠE PARDUBICE";39;"Zálabský Jan";28;"NK";"BEZPP";909;1.89;"";""
2010;"Občanská demokratická strana";33;"Mojžíšek Zdeněk";55;"ODS";"ODS";3802;2.34;26;""
2014;"Naše Pardubice, FairPlay,NK";19;"Návesník Miloš Ing.";68;"NK";"BEZPP";587;2.34;"";""
2002;"Nezávislí Pardubičtí kandidáti";13;"Sečkařová Jaroslava  ";33;"SV SOS";"BEZPP";432;3.95;"";""
2014;"Česká str.sociálně demokrat.";5;"Rozinek Jiří Ing.";61;"ČSSD";"ČSSD";3144;2.99;2;*
2014;"Občanská demokratická strana";8;"Štěpánek Vítězslav Ing. Mgr.";56;"ODS";"ODS";2408;3.20;1;""
2010;"Strana Práv Občanů ZEMANOVCI";11;"Pršala Radoslav";49;"SPOZ";"SPOZ";403;2.25;"";""
2010;"Věci veřejné (VV)";12;"Kofroň Jaroslav Ing.";48;"VV";"BEZPP";811;2.86;"";""
2018;"Pardubáci společně";37;"Čeněk Jindřich";46;"VČ";"Svobodní";1773;2.03;33;""
2014;"Občanská demokratická strana";26;"Meduna Radek Ing.";31;"ODS";"ODS";1839;2.44;22;""
2014;"ANO 2011";34;"Bachura Libor";50;"ANO";"ANO";4292;2.32;23;""
2014;"Strana zelených";10;"Rýdl Karel prof. PhDr. CSc.";62;"Zelení";"BEZPP";871;3.65;"";""
2010;"Česká str.sociálně demokrat.";28;"Kolář Jaroslav";44;"ČSSD";"ČSSD";5813;2.51;17;""
2018;"Komunistická str.Čech a Moravy";10;"Just František";63;"KSČM";"KSČM";1297;2.59;8;""
2018;"Občanská demokratická strana";37;"Lukeš Radek";46;"ODS";"ODS";3046;2.14;30;""
2018;"Strana soukromníků ČR";22;"Fikejs Pavel";20;"Soukromníci";"BEZPP";84;2.04;"";""
2006;"Zelená pro Pardubice";20;"Linhart Tomáš Ing.";25;"SZ";"SZ";1866;2.42;17;""
2018;"ČSSD a nestran. pro Pardubice";31;"Míča Petr Mgr.";47;"ČSSD";"ČSSD";1345;2.36;29;""
2006;"Občanská demokratická strana";1;"Deml Jaroslav Ing.";51;"ODS";"ODS";10272;2.76;1;*
2018;"ANO 2011";31;"Štefková Karolína";43;"ANO";"ANO";6359;2.45;18;""
2002;"Sdružení pro Pardubice";14;"Gobernacová Hana Ing. ";27;"NK";"BEZPP";3622;2.45;7;""
2018;"ČSSD a nestran. pro Pardubice";18;"Javůrek Michal";50;"ČSSD";"ČSSD";1374;2.42;16;""
2014;"Občanská demokratická strana";31;"Přibylová Alena";57;"ODS";"ODS";1736;2.30;27;""
2018;"ANO 2011";30;"Řehounek Jan Ing.";43;"ANO";"ANO";6505;2.51;17;""
2018;"Pardubice pro lidi";3;"Nacu Petra Ing. arch.";47;"PPL";"PPL";1560;3.86;"";""
2014;"DOMOV";7;"Skála Martin Ing.";49;"BPI";"BEZPP";193;2.85;"";""
2018;"Svob.a př.dem.-T.Okamura (SPD)";19;"Udržal Tomáš";28;"SPD";"BEZPP";977;2.58;"";""
2014;"Úsvit přímé demokracie";28;"Neumannová Tereza";21;"Úsvit";"BEZPP";289;2.28;"";""
2006;"Občanská demokratická strana";38;"Salfická Marcela";46;"ODS";"ODS";8253;2.22;23;""
2014;"Svobodní, Strana svobod.občanů";2;"Přikryl Zdeněk Ing.";48;"Svobodní";"Svobodní";898;2.95;"";""
2018;"Pardubice pro lidi";12;"Doležal Jiří Ing. CSc.";65;"PPL";"BEZPP";1085;2.68;"";""
2018;"NAŠE PARDUBICE";3;"Prokopová Alexandra Ing.";71;"NK";"BEZPP";1438;3.00;"";""
2014;"ANO 2011";24;"Šimek Miloslav";64;"ANO";"BEZPP";4637;2.50;13;""
2014;"Naše Pardubice, FairPlay,NK";32;"Vraný Michal Mgr. DiS.";30;"NK";"BEZPP";525;2.09;"";""
2010;"Zelená pro Pardubice (SZ, NK)";12;"Parůžková Renata MUDr.";33;"NK";"BEZPP";765;3.13;"";""
2014;"Svobodní, Strana svobod.občanů";30;"Pilný Jan";35;"Svobodní";"BEZPP";730;2.40;"";""
2018;"ČSSD a nestran. pro Pardubice";29;"Marek Jan";31;"ČSSD";"ČSSD";1321;2.32;27;""
2010;"Volte Pr.Blok www.cibulka.net";3;"Feil Miroslav";48;"PB";"BEZPP";273;14.57;"";""
2014;"ZEMANOVCI, Sdružení SPO, NK";5;"Navrátilová Hana Ing.";68;"SPO";"SPO";66;4.09;"";""
2002;"Křesť.demokr.unie-Čs.str.lid.";18;"Valenta Stanislav  ";48;"KDU-ČSL";"KDU-ČSL";1149;2.38;16;""
2018;"ANO 2011";22;"Huráň Jiří Ing.";59;"ANO";"ANO";6650;2.56;9;""
2018;"PRO Zdraví a Sport";9;"Šmeral Petr";43;"PRO Zdraví";"BEZPP";167;2.46;"";""
2014;"Občanská demokratická strana";17;"Srbek Jiří";66;"ODS";"ODS";2352;3.12;2;""
2006;"Česká str.sociálně demokrat.";20;"Váňa Miroslav Ing.";45;"ČSSD";"ČSSD";4531;2.66;13;""
2002;"NEZÁVISLÍ";16;"Molnárová Alena Mgr. ";40;"NEZ";"BEZPP";806;2.41;"";""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";26;"Valenta Stanislav";60;"KDU-ČSL";"KDU-ČSL";1012;2.31;24;""
2018;"Pardubáci společně";9;"Linhart Jan Ing.";67;"PATRIOTI";"BEZPP";2561;2.94;4;""
2014;"Svobodní, Strana svobod.občanů";12;"Faikl Zdeněk Ing.";55;"Svobodní";"Svobodní";796;2.62;"";""
2010;"SDRUŽENÍ PRO PARDUBICE";25;"Gottvald Tomáš MUDr.";37;"NK";"BEZPP";5267;2.51;17;""
2010;"Občanská demokratická strana";1;"Krejčíř Alexandr Ing.";50;"ODS";"ODS";4647;2.86;4;*
2010;"Komunistická str.Čech a Moravy";26;"Bažant Rostislav";56;"KSČM";"BEZPP";2591;2.51;22;""
2002;"Česká str.sociálně demokrat.";32;"Šnoplová Jana  ";19;"ČSSD";"ČSSD";3742;2.35;25;""
2010;"Komunistická str.Čech a Moravy";38;"Jeřábková Květuše";46;"KSČM";"KSČM";2477;2.40;34;""
2014;"Komunistická str.Čech a Moravy";19;"Melenec Aleš Bc.";57;"KSČM";"KSČM";1916;2.55;15;""
2010;"TOP 09 a nezávislí";28;"Městecký Petr PharmDr.";35;"TOP 09";"TOP 09";1897;2.47;25;""
2010;"Koalice pro Pardubice";37;"Jinoch Jan";34;"Nestran.";"BEZPP";802;1.76;"";""
2014;"Sdružení pro Pard. - SNK ED,NK";7;"Hájek Jiří Ing.";53;"NK";"BEZPP";2911;3.58;3;*
2014;"Občanská demokratická strana";36;"Tengl Radek Ing.";45;"ODS";"ODS";1617;2.15;32;""
2018;"Česká pirátská strana";37;"Kubáč Vilém Bc.";27;"Piráti";"Zelení";2292;2.10;32;""
2010;"PARDUBÁCI";37;"Topolský Pavel";37;"ČSR";"BEZPP";2236;2.07;32;""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";21;"Pospíšil Pavel Mgr.";50;"KDU-ČSL";"BEZPP";1105;2.52;20;""
2018;"Komunistická str.Čech a Moravy";37;"Háva Bohumír";66;"KSČM";"KSČM";1187;2.37;35;""
2014;"Sdružení pro Pard. - SNK ED,NK";11;"Divecká Světlana PaedDr.";48;"NK";"BEZPP";2248;2.76;8;""
2006;"NEZ.DEMOKRATÉ(předs.V.Železný)";3;"Kučera Libor";44;"NEZ/DEM";"NEZ/DEM";151;9.23;"";""
2002;"Naděje";1;"Brendlová Ivanka  ";54;"N";"BEZPP";1647;5.52;"";""
2006;"Sdružení pro Pardubice";8;"Hlaváč Ondřej Ing.";31;"NK";"BEZPP";4804;2.57;1;""
2018;"ANO 2011";6;"Procházka Jan";38;"ANO";"ANO";6857;2.64;6;*
2010;"PARDUBÁCI";36;"Šidák František";48;"ČSR";"BEZPP";2286;2.12;31;""
2014;"TOP 09 a nezávislí";6;"Vlastníková Věra Mgr. Ph.D.";35;"TOP 09";"TOP 09";1671;3.14;2;""
2014;"TOP 09 a nezávislí";7;"Koudelka Ladislav prof. Ing. DrSc.";72;"TOP 09";"TOP 09";1608;3.02;4;""
2018;"Svob.a př.dem.-T.Okamura (SPD)";11;"Cejpek Pavel";50;"SPD";"BEZPP";978;2.58;"";""
2010;"TOP 09 a nezávislí";34;"Pelcman Tomáš Bc.";25;"TOP 09";"BEZPP";1598;2.08;31;""
2018;"ANO 2011";27;"Schönbeková Adéla";28;"ANO";"ANO";6474;2.50;14;""
2018;"ČSSD a nestran. pro Pardubice";33;"Kolman Petr";74;"ČSSD";"ČSSD";1294;2.27;31;""
2002;"NEZÁVISLÍ";7;"Novotná Soňa Mgr. ";31;"NEZ";"NEZ";1124;3.36;"";""
2010;"Koalice pro Pardubice";18;"Norek Karel MVDr.";67;"Nestran.";"BEZPP";1172;2.57;"";""
2018;"Občanská demokratická strana";35;"Vejvoda Vlastimil";50;"ODS";"ODS";3208;2.26;28;""
2002;"Občanská demokratická strana";27;"Šenk František  ";50;"ODS";"ODS";8309;2.44;11;""
2002;"Naděje";20;"Kohoutová Iveta  ";33;"N";"BEZPP";718;2.40;"";""
2010;"PARDUBÁCI";17;"Bartoška Tomáš";36;"ČSR";"BEZPP";2605;2.41;12;""
2010;"TOP 09 a nezávislí";6;"Kulhánková Zdeňka Bc.";44;"TOP 09";"TOP 09";2192;2.86;7;""
2006;"Sdružení pro Pardubice";24;"Beneš Petr Ing.";44;"NK";"BEZPP";4444;2.37;16;""
2014;"Svobodní, Strana svobod.občanů";39;"Pachol Vojtěch";25;"Svobodní";"Svobodní";607;1.99;"";""
2002;"Křesť.demokr.unie-Čs.str.lid.";7;"Weisbauer František Ing. ";39;"KDU-ČSL";"KDU-ČSL";1691;3.50;3;""
2014;"DOMOV";19;"Kostelecká Tereza";27;"BPI";"BEZPP";151;2.23;"";""
2002;"Komunistická str.Čech a Moravy";30;"Šámal Ladislav  ";47;"KSČM";"KSČM";3672;2.51;23;""
2010;"TOP 09 a nezávislí";38;"Blažek Martin";40;"TOP 09";"TOP 09";1466;1.91;35;""
2010;"PARDUBÁCI";18;"Hlaváčová Stanislava";58;"ČSR";"ČSR";2594;2.40;13;""
2014;"NEZÁVISLÍ";39;"Straková Tereza";24;"NEZ";"BEZPP";164;1.96;"";""
2010;"Věci veřejné (VV)";25;"Matalík Radek";28;"VV";"BEZPP";652;2.30;"";""
2002;"Unie svobody-Demokratická unie";27;"Rambousková Ludmila  ";63;"US-DEU";"US-DEU";881;1.98;"";""
2010;"Komunistická str.Čech a Moravy";22;"Šťastná Zdenka JUDr.";56;"KSČM";"KSČM";2720;2.64;18;""
2018;"ČSSD a nestran. pro Pardubice";3;"Petružálková Renata Mgr. Ing.";50;"ČSSD";"ČSSD";1693;2.98;2;""
2010;"TOP 09 a nezávislí";9;"Kurdziel Tomáš Ing.";35;"TOP 09";"BEZPP";2263;2.95;5;""
2010;"Koalice pro Pardubice";39;"Weisbauer Vojtěch";18;"KDU-ČSL";"BEZPP";793;1.74;"";""
2018;"ČSSD a nestran. pro Pardubice";1;"Rychtecký Jakub Mgr.";34;"ČSSD";"ČSSD";3023;5.32;1;*
2014;"Naše Pardubice, FairPlay,NK";13;"Veverka Radek Mgr.";30;"NK";"BEZPP";659;2.63;"";""
2014;"Občanská demokratická strana";29;"Franc Jan Bc.";29;"ODS";"ODS";1758;2.33;25;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";21;"Ondráček Jakub";22;"ALTER";"BEZPP";287;2.10;"";""
2014;"NEZÁVISLÍ";20;"Kollmanová Petra";40;"NEZ";"BEZPP";206;2.46;"";""
2010;"Zelená pro Pardubice (SZ, NK)";34;"Bendakovský Ladislav";55;"NK";"BEZPP";385;1.57;"";""
2002;"Občanská demokratická strana";35;"Stratílek Jakub  ";23;"ODS";"ODS";7702;2.27;19;""
2002;"Komunistická str.Čech a Moravy";34;"Boháček Gustav  ";38;"KSČM";"BEZPP";3586;2.45;27;""
2014;"Sdružení pro Pard. - SNK ED,NK";8;"Vavřina Vít Ing.";68;"SNK ED";"SNK ED";2308;2.83;6;""
2002;"Občanská demokratická strana";24;"Jonáš Miroslav Ing. ";26;"ODS";"ODS";8501;2.50;8;""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";36;"Vondráčková Kateřina MUDr.";58;"KDU-ČSL";"BEZPP";970;2.22;34;""
2010;"TOP 09 a nezávislí";15;"Šušlík Roman";55;"TOP 09";"TOP 09";1881;2.45;13;""
2010;"Česká str.sociálně demokrat.";5;"Chmelař Milan";68;"ČSSD";"ČSSD";6151;2.66;5;*
2018;"ANO 2011";12;"Nadrchal Jan";31;"ANO";"ANO";6768;2.61;12;*
2006;"Občanská demokratická strana";32;"Přibyl Karel Ing.";60;"ODS";"ODS";9114;2.45;17;""
2014;"Česká str.sociálně demokrat.";11;"Dračínská Loosová Martina";36;"ČSSD";"ČSSD";2743;2.60;5;""
2018;"Svob.a př.dem.-T.Okamura (SPD)";15;"Marek Dominik";23;"SPD";"BEZPP";977;2.58;"";""
2010;"Strana Práv Občanů ZEMANOVCI";9;"Valentová Vendula MUDr.";27;"SPOZ";"BEZPP";583;3.26;"";""
2018;"ČSSD a nestran. pro Pardubice";9;"Tauberová Markéta Mgr.";41;"ČSSD";"ČSSD";1624;2.86;4;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";8;"Drápalík Petr Ing.";46;"ALTER";"BEZPP";517;3.78;"";""
2010;"Strana Práv Občanů ZEMANOVCI";18;"Chocholoušová Tichá Václava";40;"SPOZ";"BEZPP";384;2.14;"";""
2018;"Svob.a př.dem.-T.Okamura (SPD)";30;"Chmelíková Hana";63;"SPD";"BEZPP";922;2.44;"";""
2018;"ANO 2011";19;"Jaroš Ondřej";41;"ANO";"ANO";6662;2.57;6;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";3;"Motyčka Jan";31;"ALTER";"BEZPP";1351;9.89;"";""
2010;"SDRUŽENÍ PRO PARDUBICE";4;"Skalický Jiří PharmDr.";56;"NK";"BEZPP";6664;3.18;3;*
2018;"ČSSD a nestran. pro Pardubice";8;"Vitochová Marta Ing.";46;"ČSSD";"ČSSD";1487;2.61;7;""
2002;"Komunistická str.Čech a Moravy";36;"Lederer Rudolf  ";63;"KSČM";"KSČM";3520;2.41;29;""
2018;"Sdružení pro Pardubice";13;"Frýda Daniel";48;"SNK ED";"SNK ED";1338;2.23;11;""
2018;"Koalice pro Pardubice";31;"Španielová Soňa Ing. et Ing. Ph.D., MBA";55;"TOP 09";"BEZPP";1570;2.25;28;""
2018;"NAŠE PARDUBICE";2;"Řeháček Jan  DiS.";46;"NK";"BEZPP";1812;3.78;"";""
2014;"Komunistická str.Čech a Moravy";17;"Rozsypal Jiří";53;"KSČM";"KSČM";1931;2.57;13;""
2014;"Sdružení pro Pard. - SNK ED,NK";14;"Bělková Gabriela Mgr.";40;"NK";"BEZPP";2198;2.70;10;""
2018;"NAŠE PARDUBICE";30;"Hanzlík Lukáš";21;"NK";"BEZPP";1078;2.24;"";""
2002;"Křesť.demokr.unie-Čs.str.lid.";15;"Jirout Ivan  ";49;"KDU-ČSL";"BEZPP";1129;2.34;13;""
2010;"Česká str.sociálně demokrat.";2;"Kasič Ján";57;"ČSSD";"ČSSD";6256;2.70;2;*
2018;"NAŠE PARDUBICE";19;"Stloukalová Brigita Mgr. Ph.D.";54;"NK";"BEZPP";1243;2.59;"";""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";13;"Netolický Petr Ing.";32;"KDU-ČSL";"BEZPP";1152;2.63;12;""
2018;"Pardubice pro lidi";22;"Matušková Ivana";54;"PPL";"BEZPP";990;2.45;"";""
2018;"NAŠE PARDUBICE";29;"Kramář Radim";30;"FairPlay";"BEZPP";1082;2.25;"";""
2010;"Zelená pro Pardubice (SZ, NK)";7;"Mandysová Ivana Ing. Ph.D.";47;"NK";"BEZPP";1091;4.46;"";""
2006;"Občanská demokratická strana";37;"Novák Ladislav";39;"ODS";"ODS";8486;2.28;22;""
2002;"Naděje";23;"Goláň Robert  ";24;"N";"BEZPP";745;2.49;"";""
2002;"Občanská demokratická strana";1;"Stříteský Jiří Ing. ";58;"ODS";"ODS";11478;3.38;1;*
2006;"Komunistická str.Čech a Moravy";34;"Kafurová Nina";41;"KSČM";"KSČM";2757;2.46;30;""
2006;"Občanská demokratická strana";17;"Matýsek David Bc.";31;"ODS";"ODS";9936;2.67;2;""
2014;"Svobodní, Strana svobod.občanů";4;"Chmelař Robert";25;"Svobodní";"Svobodní";830;2.73;"";""
2002;"Křesť.demokr.unie-Čs.str.lid.";14;"Strádal Oktavián Ing. ";51;"KDU-ČSL";"BEZPP";1397;2.89;6;""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";29;"Novák Milan Mgr. Bc.";54;"Nestran.";"BEZPP";982;2.24;27;""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";33;"Chlumský Michal Mgr.";26;"Nestran.";"BEZPP";937;2.14;31;""
2018;"Komunistická str.Čech a Moravy";29;"Růžičková Jiřina";71;"KSČM";"KSČM";1229;2.45;27;""
2018;"Pardubáci společně";7;"Klose Aleš Ing. arch.";47;"VČ";"BEZPP";2819;3.23;4;*
2014;"NEZÁVISLÍ";28;"Padyásková Vladimíra";49;"NEZ";"BEZPP";197;2.36;"";""
2010;"PARDUBÁCI";16;"Tamchynová Monika Mgr.";32;"ČSR";"BEZPP";2626;2.43;11;""
2018;"ČSSD a nestran. pro Pardubice";25;"Kučerová Zdenka";59;"ČSSD";"ČSSD";1343;2.36;23;""
2014;"Pard. pro lidi a Souk SsČR,PPL";37;"Holická Alena";24;"PPL";"BEZPP";585;2.11;"";""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";17;"Šťastný Karel MUDr. Ph.D.";65;"NK";"BEZPP";1613;3.52;3;""
2018;"Sdružení pro Pardubice";36;"Mandysová Ivana Ing. Ph.D.";55;"NK";"BEZPP";1264;2.11;33;""
2018;"Strana soukromníků ČR";31;"Lulková Tereza";38;"Soukromníci";"BEZPP";78;1.89;"";""
2014;"Sdružení pro Pard. - SNK ED,NK";9;"Cihlo Jaroslav Ing.";65;"NK";"BEZPP";2168;2.66;7;""
2014;"ANO 2011";38;"Randák Milan Ing.";52;"ANO";"BEZPP";3862;2.08;27;""
2014;"DOMOV";12;"Spolek Miroslav Ing.";40;"BPI";"BEZPP";160;2.37;"";""
2002;"Unie svobody-Demokratická unie";32;"Cach Jiří  ";81;"US-DEU";"US-DEU";826;1.86;"";""
2006;"Sdružení pro Pardubice";7;"Vavřina Vít Ing.";60;"SNK ED";"SNK ED";5418;2.89;6;*
2006;"Zelená pro Pardubice";2;"Valenta Miloslav PaedDr.";47;"NEZ";"NEZ";2501;3.24;1;""
2018;"Sdružení pro Pardubice";22;"Kubrycht Martin Mgr.";65;"NK";"BEZPP";1585;2.65;19;""
2018;"Pardubice pro lidi";34;"Prokůpek Martin";38;"PPL";"BEZPP";902;2.23;"";""
2014;"Sdružení pro Pard. - SNK ED,NK";20;"Šmeralová Eva Bc.";38;"NK";"BEZPP";1922;2.36;16;""
2006;"Česká str.sociálně demokrat.";8;"Doležal Ladislav";59;"ČSSD";"ČSSD";4488;2.63;2;""
2010;"TOP 09 a nezávislí";39;"Formánková Dana";48;"TOP 09";"BEZPP";1366;1.78;36;""
2010;"Zelená pro Pardubice (SZ, NK)";22;"Kocourek Vladimír";19;"SZ";"SZ";463;1.89;"";""
2014;"Strana zelených";27;"Čáňová Nikol";33;"Zelení";"BEZPP";550;2.30;"";""
2014;"Svobodní, Strana svobod.občanů";25;"Richter Robert  DiS.";34;"Svobodní";"Svobodní";738;2.42;"";""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";23;"Bořil Pavel";44;"KDU-ČSL";"KDU-ČSL";1006;2.30;22;""
2014;"TOP 09 a nezávislí";31;"Jakl René";36;"NK";"BEZPP";1163;2.18;28;""
2002;"NEZÁVISLÍ";35;"Pešek Gabriel  ";31;"NEZ";"BEZPP";550;1.64;"";""
2006;"Sdružení pro Pardubice";12;"Šediváková Gabriela";28;"SNK ED";"BEZPP";5037;2.69;4;""
2014;"Naše Pardubice, FairPlay,NK";14;"Jamborová Kateřina Mgr. Ph.D.";37;"NK";"BEZPP";636;2.54;"";""
2014;"Naše Pardubice, FairPlay,NK";30;"Piskač Pavel";53;"NK";"BEZPP";541;2.16;"";""
2014;"PARDUBÁCI,Sdružení ČSR, NK";20;"Roček David";42;"ČSR";"BEZPP";1469;2.36;17;""
2010;"Suverenita-blok J.Bobošíkové";34;"Netolický Miloslav";42;"Suveren.";"BEZPP";408;2.11;"";""
2014;"Naše Pardubice, FairPlay,NK";6;"Novotný Zdeněk MUDr.";42;"NK";"BEZPP";808;3.22;"";""
2010;"Česká str.sociálně demokrat.";39;"Šimon Marcel";29;"ČSSD";"ČSSD";5106;2.21;28;""
2014;"Sdružení pro Pard. - SNK ED,NK";15;"Kubrycht Martin Mgr.";61;"NK";"BEZPP";2221;2.73;11;""
2002;"NEZÁVISLÍ";20;"Šimerda Petr RNDr. ";44;"NEZ";"BEZPP";937;2.80;"";""
2002;"NEZÁVISLÍ";38;"Bubáková Zdena  ";48;"NEZ";"BEZPP";607;1.81;"";""
2014;"Komunistická str.Čech a Moravy";31;"Hlína Václav";63;"KSČM";"BEZPP";1849;2.46;27;""
2010;"Strana Práv Občanů ZEMANOVCI";36;"Kmoníček Petr";32;"SPOZ";"SPOZ";350;1.95;"";""
2014;"Česká str.sociálně demokrat.";1;"Ninger Vladimír MUDr. Ph.D.";50;"ČSSD";"ČSSD";3394;3.22;1;*
2018;"PRO Zdraví a Sport";3;"Kučera Vladimír MUDr.";51;"PRO Zdraví";"ODA";349;5.15;"";""
2014;"Strana zelených";20;"Pavlů Jan Ing.";40;"Zelení";"BEZPP";637;2.67;"";""
2002;"Naděje";7;"Teplá Ludmila  ";32;"N";"BEZPP";849;2.84;"";""
2002;"Unie svobody-Demokratická unie";30;"Holubová Daniela  ";56;"US-DEU";"US-DEU";844;1.90;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";3;"Vich Milan Ing.";53;"PPL";"BEZPP";864;3.12;"";""
2018;"Pardubáci společně";39;"Hencl Lukáš";41;"VČ";"BEZPP";1681;1.93;35;""
2010;"Strana Práv Občanů ZEMANOVCI";14;"Čihák Jakub Ing.";25;"SPOZ";"BEZPP";447;2.49;"";""
2006;"Komunistická str.Čech a Moravy";17;"Červa Pavel";60;"KSČM";"KSČM";2815;2.51;13;""
2010;"TOP 09 a nezávislí";12;"Slezák Martin Ing. Mgr.";28;"TOP 09";"KČ";2108;2.75;10;""
2018;"Strana soukromníků ČR";20;"Petr Libor";36;"Soukromníci";"BEZPP";76;1.85;"";""
2014;"ANO 2011";9;"Salfický Dušan";42;"ANO";"ANO";5575;3.01;2;*
2014;"Naše Pardubice, FairPlay,NK";21;"Těšitel Jan Mgr.";56;"NK";"BEZPP";624;2.49;"";""
2018;"Sdružení pro Pardubice";29;"Šmahel Rostislav";79;"SNK ED";"SNK ED";1251;2.09;26;""
2018;"Svob.a př.dem.-T.Okamura (SPD)";4;"Karbanová Ladislava Ing. DiS.";65;"SPD";"BEZPP";1063;2.81;"";""
2010;"Zelená pro Pardubice (SZ, NK)";18;"Hrstka Josef";60;"NK";"BEZPP";745;3.04;"";""
2018;"Česká pirátská strana";13;"Jirsová Kateřina MgA.";32;"Piráti";"Piráti";2871;2.63;8;""
2014;"Sdružení pro Pard. - SNK ED,NK";18;"Kubík Luboš";50;"NK";"BEZPP";2092;2.57;14;""
2014;"ANO 2011";3;"Řehounek Jan Ing.";39;"ANO";"ANO";5176;2.79;6;*
2002;"NEZÁVISLÍ";32;"Bičík Vlastimil  ";31;"NEZ";"NEZ";824;2.46;"";""
2014;"ZEMANOVCI, Sdružení SPO, NK";22;"Šeda Jiří Bc.";32;"NK";"BEZPP";62;3.84;"";""
2010;"Česká str.sociálně demokrat.";18;"Kolman Petr";66;"ČSSD";"ČSSD";5921;2.56;7;""
2010;"SDRUŽENÍ PRO PARDUBICE";2;"Kubát Josef RNDr.";67;"NK";"BEZPP";8002;3.82;1;*
2014;"Pard. pro lidi a Souk SsČR,PPL";18;"Táborský Martin Ing.";37;"PPL";"PPL";687;2.48;"";""
2018;"NAŠE PARDUBICE";37;"Vraná Kateřina";21;"NK";"BEZPP";985;2.05;"";""
2002;"Komunistická str.Čech a Moravy";13;"Rozsypalová Jitka  ";37;"KSČM";"BEZPP";3767;2.58;6;""
2018;"Česká pirátská strana";6;"Vařecha Filip Ing.";32;"Piráti";"Piráti";3021;2.77;1;""
2018;"ČSSD a nestran. pro Pardubice";7;"Adamů Miloš Mgr. MBA";50;"NK";"BEZPP";1660;2.92;3;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";22;"Kroupa Pavel";22;"ALTER";"BEZPP";319;2.33;"";""
2018;"NAŠE PARDUBICE";35;"Komzák Stanislav";60;"FairPlay";"BEZPP";1013;2.11;"";""
2006;"Sdružení pro Pardubice";15;"Vojtíšek Vratislav Ing.";62;"SNK ED";"SNK ED";4818;2.57;7;""
2010;"Zelená pro Pardubice (SZ, NK)";38;"Rázl Jaroslav";60;"NK";"BEZPP";351;1.43;"";""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";30;"Mareš Miroslav";50;"NK";"BEZPP";1058;2.30;28;""
2014;"Naše Pardubice, FairPlay,NK";11;"Pojkarová Kateřina Ing. Ph.D.";37;"NK";"BEZPP";752;3.00;"";""
2018;"ANO 2011";20;"Chmelík Jiří";35;"ANO";"BEZPP";6698;2.58;7;""
2002;"Křesť.demokr.unie-Čs.str.lid.";20;"Veselá Anna  ";36;"KDU-ČSL";"KDU-ČSL";1108;2.29;18;""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";5;"Hubálková Marie Mgr.";40;"Nestran.";"BEZPP";1817;3.49;2;""
2002;"Sdružení pro Pardubice";30;"Misař Milan  ";42;"NK";"BEZPP";3109;2.10;23;""
2014;"Sdružení pro Pard. - SNK ED,NK";36;"Bouška Ladislav";65;"NK";"BEZPP";1614;1.98;32;""
2014;"DOMOV";27;"Svoboda Roman";55;"BPI";"BEZPP";143;2.11;"";""
2014;"DOMOV";10;"Petruška Jindřich";49;"BPI";"BEZPP";145;2.14;"";""
2010;"SDRUŽENÍ PRO PARDUBICE";14;"Razskazov Jiří";53;"NK";"BEZPP";5769;2.75;6;""
