rok;kandidatni_strana;poradove_cislo;jmeno;vek;navrhujici_strana;politika_prislusnost;pocet_hlasu_abs;pocet_hlasu_perc;poradi_zvol_nahradnika;mandat
2018;"ČSSD a nestran. pro Pardubice";32;"Dudek Vladimír";45;"ČSSD";"ČSSD";1287;2.26;30;""
2018;"Komunistická str.Čech a Moravy";14;"Harmatová Petra";36;"KSČM";"KSČM";1290;2.57;12;""
2018;"ANO 2011";14;"Navrátilová Hana";60;"ANO";"ANO";6657;2.57;1;""
2018;"ANO 2011";25;"Martínek Petr";69;"ANO";"ANO";6496;2.50;12;""
2002;"Občanská demokratická strana";17;"Ministr Petr  ";41;"ODS";"ODS";8992;2.65;1;""
2010;"SDRUŽENÍ PRO PARDUBICE";22;"Sůva Petr MUDr.";56;"NK";"BEZPP";5209;2.49;14;""
2010;"Zelená pro Pardubice (SZ, NK)";1;"Linhart Jan Ing.";59;"SZ";"SZ";1572;6.43;"";""
2018;"Sdružení pro Pardubice";1;"Pelikán Tomáš Ing.";43;"NK";"BEZPP";2480;4.15;3;*
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";13;"Vojvodík Jan Mgr.";38;"KDU-ČSL";"KDU-ČSL";1250;2.40;14;""
2018;"Svob.a př.dem.-T.Okamura (SPD)";21;"Kortanová Martina";42;"SPD";"BEZPP";959;2.53;"";""
2010;"SDRUŽENÍ PRO PARDUBICE";34;"Divecká Světlana PaedDr.";44;"NK";"BEZPP";4717;2.25;25;""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";11;"Bubák Oldřich Ing.";60;"NK";"BEZPP";1374;2.99;7;""
2010;"Zelená pro Pardubice (SZ, NK)";28;"Malý Tomáš";48;"SZ";"BEZPP";442;1.80;"";""
2018;"Pardubice pro lidi";1;"Králíček Petr Bc.";37;"PPL";"PPL";1693;4.19;"";""
2010;"PARDUBÁCI";34;"Šimon David";35;"ČSR";"BEZPP";2341;2.17;29;""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";34;"Flekačová Dita";38;"Nestran.";"BEZPP";957;2.19;32;""
2014;"Pard. pro lidi a Souk SsČR,PPL";16;"Kolář Jaroslav";48;"PPL";"PPL";655;2.36;"";""
2014;"Úsvit přímé demokracie";7;"Korel Jakub Ing.";29;"Úsvit";"BEZPP";380;3.00;"";""
2002;"Komunistická str.Čech a Moravy";1;"Snopek Václav Mgr. CSc.";51;"KSČM";"KSČM";4382;3.00;1;*
2010;"Občanská demokratická strana";21;"Příhoda Leoš Ing.";27;"ODS";"ODS";4102;2.52;14;""
2018;"PRO Zdraví a Sport";2;"Novohradský Vítězslav MUDr. Ph.D.";59;"PRO Zdraví";"BEZPP";585;8.64;"";""
2010;"TOP 09 a nezávislí";32;"Šíp Luděk Bc.";34;"TOP 09";"TOP 09";1819;2.37;29;""
2010;"Věci veřejné (VV)";35;"Svobodová Gabriela";25;"VV";"BEZPP";633;2.23;"";""
2014;"Strana zelených";16;"Kočárník Jaroslav Bc.";46;"Zelení";"BEZPP";606;2.54;"";""
2002;"Sdružení pro Pardubice";26;"Libiak Dušan MUDr. ";48;"SNK ED";"BEZPP";3995;2.71;19;""
2014;"TOP 09 a nezávislí";35;"Péková Jana Mgr. Bc.";30;"NK";"BEZPP";1128;2.12;32;""
2014;"Strana zelených";28;"Merhout Martin";25;"Zelení";"BEZPP";542;2.27;"";""
2014;"Strana zelených";25;"Kvapilová Lenka";60;"Zelení";"BEZPP";563;2.36;"";""
2018;"PRO Zdraví a Sport";7;"Knížek Tomáš Ing.";36;"PRO Zdraví";"BEZPP";154;2.27;"";""
2018;"Strana soukromníků ČR";32;"Zahálková Věra Bc.";35;"Soukromníci";"BEZPP";73;1.77;"";""
2002;"Unie svobody-Demokratická unie";15;"Meduna Miroslav  ";60;"US-DEU";"US-DEU";1008;2.27;"";""
2002;"Česká str.sociálně demokrat.";31;"Pískovský Daniel Ing. ";27;"ČSSD";"ČSSD";3804;2.39;24;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";24;"Bludský Matěj";20;"ALTER";"BEZPP";317;2.32;"";""
2014;"Naše Pardubice, FairPlay,NK";22;"Kohoutová Kamila Mgr.";41;"NK";"BEZPP";606;2.42;"";""
2010;"Suverenita-blok J.Bobošíkové";11;"Ostatek Vlastimil Mgr.";54;"Suveren.";"BEZPP";483;2.49;"";""
2010;"Komunistická str.Čech a Moravy";19;"Snopková Kateřina Bc.";27;"KSČM";"BEZPP";2670;2.59;15;""
2014;"Česká str.sociálně demokrat.";29;"Dudek Vladimír";41;"ČSSD";"ČSSD";2560;2.43;23;""
2002;"Křesť.demokr.unie-Čs.str.lid.";26;"Venzara Jiří  MBA";38;"KDU-ČSL";"BEZPP";1146;2.37;24;""
2014;"ANO 2011";19;"Hrabal Jan Ing.";31;"ANO";"ANO";4756;2.57;8;""
2006;"Zelená pro Pardubice";11;"Šimerda Petr RNDr.";48;"NEZ";"BEZPP";2220;2.88;4;""
2014;"Naše Pardubice, FairPlay,NK";9;"Strnad Pavel";56;"FairPlay";"FairPlay";687;2.74;"";""
2018;"Občanská demokratická strana";17;"Šebek Ondřej Mgr.";46;"ODS";"ODS";3800;2.68;10;""
2014;"Naše Pardubice, FairPlay,NK";5;"Vraný Martin Ing.";37;"NK";"BEZPP";862;3.44;"";""
2002;"Občanská demokratická strana";16;"Klimpl Petr Ing. ";47;"ODS";"ODS";9234;2.72;16;*
2014;"Sdružení pro Pard. - SNK ED,NK";21;"Sůva Petr MUDr.";60;"NK";"BEZPP";2009;2.47;17;""
2014;"ANO 2011";35;"Čížek Radovan Mgr.";61;"ANO";"BEZPP";4241;2.29;24;""
2014;"PARDUBÁCI,Sdružení ČSR, NK";25;"Valenta Miloslav Ing.";36;"ČSR";"BEZPP";1494;2.40;22;""
2002;"Unie svobody-Demokratická unie";14;"Šklíba Milan Ing. ";52;"US-DEU";"US-DEU";1035;2.33;"";""
2014;"Úsvit přímé demokracie";39;"Sakař Miloš Ing.";73;"Úsvit";"BEZPP";257;2.02;"";""
2006;"Česká str.sociálně demokrat.";38;"Chvojka Josef";54;"ČSSD";"ČSSD";3769;2.21;31;""
2018;"Sdružení pro Pardubice";4;"Bouška Michal Mgr. et Mgr.";30;"NK";"BEZPP";1588;2.65;7;""
2002;"Nezávislí Pardubičtí kandidáti";7;"Kalová Marcela  ";54;"SV SOS";"BEZPP";483;4.42;"";""
2010;"SDRUŽENÍ PRO PARDUBICE";20;"Gobernacová Hana Ing.";35;"NK";"BEZPP";5129;2.45;12;""
2002;"Nezávislí Pardubičtí kandidáti";17;"Taichová Eva  ";54;"SV SOS";"BEZPP";331;3.03;"";""
2002;"Česká str.sociálně demokrat.";5;"Tauber Jindřich Mgr. ";27;"ČSSD";"ČSSD";4759;2.99;6;*
2002;"Sdružení pro Pardubice";17;"Váňa Petr Ing. ";41;"SOS";"BEZPP";3494;2.37;10;""
2006;"Občanská demokratická strana";3;"Kislinger Jan Ing.";53;"ODS";"ODS";9807;2.63;3;*
2002;"Strana za životní jistoty";11;"Kršková Magdalena  ";65;"SŽJ";"SŽJ";123;3.56;"";""
2002;"Občanská demokratická strana";18;"Horáková Jaroslava  ";62;"ODS";"ODS";8655;2.55;2;""
2014;"Strana zelených";37;"Poustecká Dita Kasandra";44;"Zelení";"BEZPP";482;2.02;"";""
2014;"Občanská demokratická strana";39;"Nožka Jan Ing.";31;"ODS";"ODS";1379;1.83;35;""
2010;"Suverenita-blok J.Bobošíkové";26;"Kortan Petr";28;"Suveren.";"BEZPP";425;2.19;"";""
2018;"Občanská demokratická strana";33;"Mede Alfréd Ing.";60;"ODS";"ODS";3356;2.36;26;""
2010;"Zelená pro Pardubice (SZ, NK)";9;"Kolesová Andrea";38;"SZ";"SZ";623;2.54;"";""
2018;"Pardubice pro lidi";20;"Šavrdová Petra Ing.";51;"PPL";"BEZPP";970;2.40;"";""
2018;"Pardubáci společně";35;"Červený Pavel Ing. arch.";48;"PATRIOTI";"BEZPP";1880;2.16;31;""
